song_name,class
If It's Lovin' That You Want.wav,0
Karma Chameleon - Remastered 2002.wav,0
Let's Groove.wav,0
Sweetest Pie.wav,0
Dynamite.wav,0
U Can't Touch This.wav,0
I'm Gonna Be (500 Miles).wav,0
Cruel Summer.wav,0
Car Keys (Ayla).wav,0
Everywhere - 2017 Remaster.wav,0
Put Your Records On.wav,0
Kite.wav,0
Kings & Queens.wav,0
Crazy What Love Can Do.wav,0
I'm Good (Blue).wav,0
Don't You Want Me.wav,0
Whistle (feat. Calum Scott).wav,0
Iko Iko (My Bestie).wav,0
I Ain't Worried.wav,0
About Damn Time.wav,0
Paradise City.wav,0
Chemical.wav,0
Speed Drive (From Barbie The Album).wav,0
Every Little Thing She Does Is Magic.wav,0
Jump - 2015 Remaster.wav,0
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit.wav,0
Any Way You Want It.wav,0
Whatever.wav,0
Livin' On A Prayer.wav,0
Players.wav,0
Acapulco.wav,0
Walking On Sunshine.wav,0
I Wanna Dance with Somebody (Who Loves Me).wav,0
I'm So Excited.wav,0
Heaven.wav,0
We Built This City.wav,0
exes.wav,0
Better Days (NEIKED x Mae Muller x Polo G).wav,0
Hungry Like the Wolf - 2009 Remaster.wav,0
If We Ever Broke Up.wav,0
Keep on Loving You.wav,0
Africa.wav,0
Rasputin.wav,0
Shower.wav,0
The Winner Takes It All.wav,0
Watermelon Sugar.wav,0
Wake Me Up Before You Go-Go.wav,0
Jerusalema (feat. Nomcebo Zikode).wav,0
I Just Called To Say I Love You.wav,0
Buffalo Soldier.wav,0
Rain On Me (with Ariana Grande).wav,0
I'm Still Standing.wav,0
Dancing In the Dark.wav,0
You Shook Me All Night Long.wav,0
Remember.wav,0
Dance Monkey.wav,0
Bette Davis Eyes.wav,0
Take You Dancing.wav,0
Forever Young.wav,0
Take on Me.wav,0
What A Man Gotta Do.wav,0
Jack & Diane.wav,0
Head & Heart (feat. MNEK).wav,0
Don't You (Forget About Me).wav,0
Sucker.wav,0
Kiss.wav,0
Never Gonna Give You Up.wav,0
Budapest.wav,0
The Power Of Love.wav,0
2 Be Loved (Am I Ready).wav,0
I'm Not Here To Make Friends.wav,0
Cover Me In Sunshine.wav,0
Could You Be Loved.wav,0
Pour Some Sugar On Me - Remastered 2017.wav,0
2002.wav,0
Under Pressure - Remastered 2011.wav,0
You Can Call Me Al.wav,0
Made You Look.wav,0
THE GIRLS - BLACKPINK THE GAME OST.wav,0
Uptown Funk (feat. Bruno Mars).wav,0
Music For a Sushi Restaurant.wav,0
You Spin Me Round (Like a Record).wav,0
Single Soon.wav,0
Unwritten.wav,0
Queen of Kings.wav,0
My Head & My Heart.wav,0
If I Could Turn Back Time.wav,0
Bam Bam (feat. Ed Sheeran).wav,0
Red Red Wine.wav,0
Love Lost.wav,0
This Feeling.wav,0
Summer of Love (Shawn Mendes & Tainy).wav,0
Head Shoulders Knees & Toes (feat. Norma Jean Martine).wav,0
Summer Of '69.wav,0
Don't Stop Believin' (2022 Remaster).wav,0
Castle on the Hill.wav,0
Fancy Like.wav,0
Just Can't Get Enough.wav,0
Sharp Dressed Man (2008 Remaster).wav,0
I Don't Care (with Justin Bieber).wav,0
My Universe.wav,0
Higher Love.wav,0
Dance Alone.wav,0
Lay All Your Love On Me.wav,0
Don't Start Now.wav,0
Love Grows (Where My Rosemary Goes).wav,0
Kiss Me More (feat. SZA).wav,0
Run.wav,0
"Happy - From ""Despicable Me 2"".wav",0
Super Freak.wav,0
The Best.wav,0
Nothing's Gonna Stop Us Now.wav,0
THATS WHAT I WANT.wav,0
Start Me Up - Remastered 2009.wav,0
Got My Mind Set on You.wav,0
3 Nights.wav,0
AOK.wav,0
I Still Haven't Found What I'm Looking For.wav,0
Barbie World (with Aqua) [From Barbie The Album].wav,0
Everybody Wants To Rule The World.wav,0
Come On Eileen.wav,0
Rock My Body.wav,0
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"").wav",0
Flashdance...What a Feeling - Radio Edit.wav,0
99 Luftballons.wav,0
Old Time Rock & Roll.wav,0
Beautiful People (feat. Khalid).wav,0
Hold Me Closer.wav,0
(It Goes Like) Nanana - Edit.wav,0
Faith - Remastered.wav,0
Where Did You Go? (feat. MNEK).wav,0
The Boys Of Summer.wav,0
Murder On The Dancefloor.wav,0
Dance The Night - From Barbie The Album.wav,0
Peaches (feat. Daniel Caesar & Giveon).wav,0
Hit Me With Your Best Shot.wav,0
Blinding Lights.wav,0
All I Never Wanted.wav,1
I've Never Been To Me.wav,1
Heartbreak Anniversary.wav,1
Lonely Is the Night.wav,1
Running Away.wav,1
Everybody Dies In Their Nightmares.wav,1
hope ur ok.wav,1
Someone You Loved.wav,1
Hello.wav,1
all the kids are depressed.wav,1
It's All Too Much.wav,1
BULLET.wav,1
It'll Be Okay.wav,1
What Kind of Fool (feat. Barry Gibb).wav,1
Thousand Miles.wav,1
Ghost.wav,1
(I Just) Died In Your Arms.wav,1
death bed (coffee for your head).wav,1
MISTAKE.wav,1
I’m a Mess (with YUNGBLUD).wav,1
you left.wav,1
Every Breath You Take.wav,1
the remedy for a broken heart (why am I so in love).wav,1
I Fall Apart.wav,1
Burn It Down.wav,1
Sometimes.wav,1
Hunting High and Low.wav,1
Better Now.wav,1
Bye Bye.wav,1
The Flame.wav,1
Jealous Guy.wav,1
Love Will Tear Us Apart - 2020 Remaster.wav,1
And So It Goes.wav,1
Careless Whisper.wav,1
Little Girl (feat. raynn).wav,1
SO DONE.wav,1
Pew Pew Pew.wav,1
New York Minute.wav,1
Let You Down.wav,1
See You Again (feat. Charlie Puth).wav,1
Fragile.wav,1
All of Me.wav,1
NUMB.wav,1
I'll Be Over You.wav,1
emotions.wav,1
everything i wanted.wav,1
TELL ME WHY.wav,1
Total Eclipse of the Heart.wav,1
